TR:ATF3,TR:BRAF,TR:CASP9,TR:COPS5,TR:KIT,TR:XPO1,TR:AKT1i,TR:CASP3i,TR:CCND1i,TR:CDK4i,TR:DIABLOi,TR:ERBB3i,TR:HDAC3i,TR:ITGALi,TR:SIRT1i,TR:SMAD2i,TR:SMAD6i,TR:SOCS2i,TR:SPI1i,TR:SRCi,TR:STAT1i,TR:STAT3i,TR:TP53i,TR:XIAPi,TR:YAP1i,TR:YWHAEi,TR:YWHAZi,DV:CD74,DV:CDKN2A,DV:SMAD1,DV:TRIM24,DV:TSC2,DV:VHL,DV:ZNF296,N,"resp,simple"
0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0.469310052887568,0.430125885949425,0.554645464606637,0.495404769810253,0.300023902646751,0.119139205772698,0.158591674691609,48,CR
0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0.242909978564655,0.265203624055321,0.520992123581978,0.583870349276486,0.329741710991394,0.299275171547587,0.539768328938599,49,CR
1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0.902628476777151,0.136739943532465,0.410802036762197,0.117888932906616,0.358503610818652,0.295947665801505,0.379067515184663,50,CR
0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0.250633872193722,0.317698313055836,0.275946155504032,0.557102606971111,0.524634663257472,0.426145336468449,0.338362658350459,51,CR
1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0.465035607855266,0.317327979714802,0.323465219936783,0.440954885602227,0.536703086959969,0.215095075637563,0.246591055926321,52,CR
1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0.559699987085428,0.381102593866466,0.708149635097246,0.578745996003709,0.102909303386411,0.330438903907125,0.420828358514398,53,CR
1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0.286299260075864,0.122178308406031,0.305977929251659,0.246771645925837,0.22978149433747,0.218974077996311,0.121866123830244,54,CR
0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0.336994547942873,0.378633833986402,0.689732449536166,0.732460751528774,0.629299269286358,0.179965441758535,0.419213234206342,55,CR
1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0.454075598434363,0.308262425590935,0.281356821836943,0.51028591405146,0.180283369591001,0.317539927987868,0.313627124603099,56,CR
0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0.399324782205722,0.427731730884326,0.247984722812277,0.44544734188492,0.424785959378353,0.155526431931096,0.204750564630739,57,CR
0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0.426878062317133,0.178473369965164,0.38882564552269,0.240980757233527,0.252482920002779,0.103557427494107,0.079569314988681,58,CR
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0.66412928398641,0.450020291528122,0.31917230721147,0.074927496118464,0.620677124663944,0.150914856812094,0.084307319465742,59,CR
1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0.675689266857446,0.186058559098812,0.422440565078843,0.28630163666976,0.309792434219771,0.211031367931992,0.44606749207613,60,CR
0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0.713333826289393,0.168958528510208,0.298881310086094,0.549096739693539,0.679476558177173,0.347281105063313,0.343706973850138,61,CR
0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0.430023568093839,0.317973998556734,0.332657227568392,0.357543371633906,0.392745578494168,0.392858318775014,0.330554967404765,62,CR
0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0.320549348475084,0.14914276869206,0.247894585271757,0.38911897222734,0.678035486349448,0.229340063908174,0.147659290921104,63,CR
0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0.435889888995936,0.306895007063791,0.24531444180513,0.089253590076191,0.31162112182751,0.227169703115891,0.095925215171723,64,CR
0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0.315854256550493,0.427504876665908,0.238626191523086,0.456405907955006,0.232883665394689,0.213680119011329,0.150288747676582,65,CR
1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0.287188554270846,0.367882911607687,0.395893142103834,0.366014814632757,0.312301908996293,0.341768047604841,0.354888917532659,66,CR
1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0.495125089494929,0.531515541760068,0.467837489318238,0.529028216473722,0.203101101070025,0.287940104559921,0.222743672219162,68,CR
1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0.377693087760652,0.294283899868886,0.466389549365601,0.757741114647519,0.172102836115016,0.359987247151287,0.387668113113944,69,CR
0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0.546742392696335,0.294060705267191,0.523994075470792,0.565460426779156,0.066407731319029,0.100427971686966,0.59135844115759,70,CR
1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0.210236082099023,0.410589376931648,0.395901594033812,0.545976738555336,0.018318917179082,0.113680779006505,0.578662701033405,71,CR
0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0.192754949994174,0.220464959614683,0.351736010839662,0.141767572055153,0.479109786375097,0.364455713575223,0.488173142910211,73,CR
0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0.313918061854174,0.404169062631138,0.781641453230357,0.405247714256322,0.65524765857049,0.231210602355979,0.30273833177221,74,CR
0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0.698503977097403,0.254087231264803,0.739417235069595,0.471084170598496,0.453573979163306,0.179117146050682,0.282529838595736,75,CR
0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0.456329061344706,0.2643883696506,0.354310471565796,0.457114788274807,0.419928163984305,0.142405616640845,0.251742954428934,76,CR
0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0.314900204547224,0.179977445481277,1,0.575943535453962,0.593674436813493,0.279420695047876,0.496323780577702,77,CR
1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.267575022220152,0.313404766666888,0.2944130586395,0.039495086876605,0.152893635196613,0.302712059992009,0.23916401167201,78,CR
0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0.263619134508839,0.14421239270159,0.44844761797075,0.40207014317287,0.373661245805726,0.125579466890258,0.250009512797552,79,CR
1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0.248160117936988,0.260394269774613,0.570780699829522,0.511312101029907,0.541341106174653,0.275542431043447,0.701482355328493,80,CR
1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0.386019237224007,0.241299095160876,0.575091276881827,0.536593577050916,0.53530088403825,0.437516705813902,0.217086731227818,82,CR
1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0.399995777948508,0.243684064240897,0.273137484959247,0.208523198722235,0.274239508188099,0.33513849522427,0.193063326486894,83,CR
1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0.504229261189238,0.242781695790449,0.383423950357546,0.242537819639093,0.798677916714209,0.41244069678079,0.423117309476448,84,CR
1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0.216077002091049,0.129299331792619,0.539500534362776,0.262361785054376,0.425569735988687,0.216478540614614,0.032417676031234,85,CR
0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0.427667094542823,0.282662610013645,0.537531010308339,0.197938539917248,0.511732074648451,0.251845362011401,0.188876310174942,86,CR
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.967813912625943,0.276647282768902,0.570888751673667,0.453827103975367,0.392937242826317,0.369981990320642,0.887623633793963,87,CR
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0.117828137945195,0.397058445799638,0.532045116163697,0.347776431538608,0.578220772422861,0.291533685899586,0.324445138707553,88,CR
1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0.573423072623451,0.359151901819887,0.51961750398543,0.569829728918471,0.719427013103584,0.465888577606004,0.50303981655376,91,CR
0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0.369652327503618,0.168115645966823,0.438192884234898,0.20337766573052,0.423037888041427,0.150676061645712,0.237048510123149,92,CR
0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0.264133946734388,0.013734366209071,0.431515322924747,0.328664838349554,0.685268470701913,0.355706530389679,0.277223285309701,93,CR
1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0.155637857065814,0.380214615292253,0.617955752865183,0.491386000680928,0.670175890066647,0.400304169225142,0.547603518698585,94,CR
0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0.348296004581203,0.315826537938662,0.655330733164253,0.489391348396129,0.324953121426252,0.396987580542075,0.344059464284397,95,CR
1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.368414855096913,0.361659556976494,0.444658423022084,0.482859228167524,0.567718501146209,0.634448531342241,0.606865518592581,96,CR
0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0.307560567907769,0.169933205275895,0.199872371633301,0.592252620012319,0.672052087620117,0.383427926911423,0.430338385240213,97,CR
0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0.163389582140746,0.28528138561961,0.555431979753741,0.378918656874165,0.64800635604705,0.152398026478553,0.275050387884753,99,CR
0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0.389990183411957,0.296998834979097,0.241098052162795,0.283060834411597,0.567841696982775,0.356886429501452,0.166712433593327,100,CR
0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0.100876044348693,1,0.458421157451303,0.499136535036091,0.259824190630248,0.090984789366646,0.340426345447497,102,CR
0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0.23651272729606,0.124363570991086,0.486713212532,0.269792858754474,0.32762329825728,0.804335276913043,0.210599685324822,103,CR
1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0.529012536157749,0.238058624790082,0.377339570708537,0.403350373093882,0.125391605082551,0.282840382652295,0.229438732669233,104,CR
1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0.150970584039836,0.159310655125317,0.249909210456755,0.506817931409456,0.780003230483707,0.360694896377567,0.291628157716852,105,CR
1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0.42109626921064,0.385464911943809,0.358587206597806,0.432602065884262,0.354294103559486,0.526832678897395,0.356629786428713,106,CR
0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0.235576042385482,0.425584894848686,0.367664250920774,0.296171029732707,0.400335150144848,0.252739379877743,0.296417286566828,109,CR
0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0.268232489400871,0.046811146515273,0.196698623803528,0.391389669300735,0.63084616310466,0.253200367449837,0.209923302587303,110,CR
1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0.262061876835615,0.146840498274282,0.303845404681385,0.505324843390064,0.590702666268469,0.42184771754619,0.384770160075287,114,CR
0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0.679177039816766,0.435216480368526,0.509223329283806,0.438386705111246,0.394377961437529,0.290296607327938,0.205510167485724,119,CR
0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0.240172943926691,0.546926889687803,0.018548107671893,0.647820168508549,0.540742449461489,0.419708556881274,0.386107745750149,120,CR
1,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.351320362053859,0.046590581033563,0.524357279383338,0.773269868660061,0.371371183999221,0.281547549511376,0.495101872928883,122,CR
1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0.459325787343314,0.158440286108203,0.629165895325001,0.279498342256276,0.168435069679875,0.897492464251297,0.153521582773722,123,CR
1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0.591475961041453,0.228042371582804,0.477862484093752,0.711727602100896,0.570719970283567,0.421043755124815,0.481185326109058,126,CR
1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0.164408283208528,0.286044177463651,0.47316751786151,0.39916810909335,0.565442927041356,0.225661236569496,0.362631560925808,127,CR
0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0.252564994639112,0.59593965636048,0.134354107174104,0.376687206310285,0.678234765902184,0.513362484128477,0.206190294752057,128,CR
1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0.347154219413462,0.204687618000514,0.589250889549582,0.562824845167247,0.51296873695692,0.417873845973365,0.308755662000696,132,CR
0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0.385361194552394,0.249734469794306,0.358754952870567,0.700738368482995,0.715755704269747,0.604740578251216,0.299761873751876,134,CR
0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0.51653826742323,0.230100959478528,0.109905327404571,0.337897896889514,0.703546280705663,0.155521435816341,0.053478183018007,135,CR
0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0.211249330689535,0.41805221001835,0.632767359797084,0.596678548803003,0.652203326644115,0.493586882166582,0.408590815572063,136,CR
0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.143510971940703,0.464167463702484,0.582835436425543,0.409499284158737,0.363764788210521,0.274974844933773,0.373453636494466,137,CR
1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0.245602579651478,0.150702309632911,0.402749573721259,0.543153843775365,0.643051752567286,0.389628076299935,0.385771706429755,138,CR
1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0.574744270573541,0.310528473162812,0.21208870414287,0.177929983967361,0.405939138137203,0.241641471012745,0.192110006785082,139,CR
1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0.364563411327486,0.284871266235708,0.457091462253086,0.584592543020304,0.81393800916473,0.534478010619019,0.418146933533012,140,CR
0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.388124436346098,0.376593287514501,0.471301416295672,0.474600687426598,0.456966240042739,0.517553495588736,0.349194440719423,141,CR
1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0.530955509272111,0.182620161232856,0.117428131125495,0.456759695424035,0.470620845787146,0.196029155565465,0.314602357225704,142,CR
0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0.579258935657473,0.45285274543065,0.039837047936373,0.688840454812241,0.656794314769423,0.533982169383974,0.403298942439832,143,CR
0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0.319579704996602,0.228062754215033,0.085985013761288,0.36476571709878,0.517176576146005,0.330309647190655,0.327517757841059,146,CR
1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0.569745410913978,0.071864804654289,0.564977271740572,0.447093438787394,0.577698863645464,0.215696823824629,0.314240225152911,149,CR
1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0.293062434465081,0.199051299825358,0.291824946422194,0.396836051384768,0.335518214107947,0.405830386512825,0.272709620553516,151,CR
0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0.339189730299176,0.180713755858555,0.425711977716481,0.540335948942566,0.561978577470731,0.058674298001554,0.362287637317222,152,CR
1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0.240972199381558,0.095281007165306,0.495704616923857,0.29387607907491,0.23604196699655,0.777140635457697,0.12808928356029,155,CR
0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0.07141718406043,0.373791726333822,0.520599335568276,0.436133086153882,0.772342055110431,0.288952490649946,0.275854280230311,157,CR
0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0.157379994032523,0.728127756154932,0.134147362882799,0.286762169657582,0.467209366266126,0.324837696981544,0.269486960928456,159,CR
0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0.340933876670695,0.417943464760121,0.484882449011792,0.408060470207915,0.823115024160539,0.510192397557832,0.278811855443326,164,CR
1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.304088756133014,0.269897253411442,0.190083591195933,0.477625026494162,0.67181754769887,0.436276380117399,0.268068167239607,166,CR
1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0.572039565775921,0.034810110028091,0.427219780165656,0.371270562878359,0.69073546274348,0.282022188902711,0.19861655947438,167,CR
